rollnumber,firstname,last name,dateof birth,gender,gpa,attendence
131101,Jackson,A,1/23/1990,male,5,62
131102,Joshua,B,1/24/1990,male ,4,68
131103,Joshua,C,1/25/1990,female,5,43
131104,Jamal,D,1/26/1990,male,4,45
131105,Ciaran,E,1/27/1990,male ,3,37
131106,Hammett,F,1/28/1990,female,5,67
131107,Nicholas,G,1/29/1990,male,4,24
131109,Kelly,H,1/30/1990,male ,3,80
131110,Leroy,I,1/31/1990,female,3,58
131112,Lionel,J,2/1/1990,male,3,20
131113,Brian,K,2/2/1990,male ,5,91
131114,Omar,L,2/3/1990,female,5,34
131115,David,M,2/4/1990,male,5,60
131116,Lyle,N,2/5/1990,male ,5,35
131117,Kamal,O,2/6/1990,female,3,15
131118,Ian,P,2/7/1990,male,5,59
131119,Brenden,Q,2/8/1990,male ,4,18
131120,Dillon,R,2/9/1990,female,3,25
131121,Rafael,S,2/10/1990,male,3,72
131123,Tucker,T,2/11/1990,male ,5,74
131124,Jacob,U,2/12/1990,female,3,51
131125,Jared,V,2/13/1990,male,5,28
131126,Matthew,W,2/14/1990,male ,4,69
131127,Hall,X,2/15/1990,female,5,42
131128,Giacomo,Y,2/16/1990,male,5,15
131130,Carl,Z,2/17/1990,male ,5,84
131131,Dieter,A,2/18/1990,female,3,55
131132,Peter,B,2/19/1990,male,5,39
131133,Jasper,C,2/20/1990,male ,4,80
131134,Hiram,D,2/21/1990,female,3,45
131135,Felix,E,2/22/1990,male,5,33
131136,Erasmus,F,2/23/1990,male ,4,73
131137,Lewis,G,2/24/1990,female,4,91
131138,Dean,H,2/25/1990,male,5,51
131141,Ira,I,2/26/1990,male ,3,95
131143,Brandon,J,2/27/1990,female,3,50
131145,Hop,K,2/28/1990,male,4,27
131146,Derek,L,3/1/1990,male ,3,48
131147,Vladimir,M,3/2/1990,female,4,96
131148,Keegan,N,3/3/1990,male,3,30
131153,Alan,O,3/4/1990,male ,3,76
131154,Dylan,P,3/5/1990,female,5,82
131203,Thomas,Q,3/6/1990,male,5,96
131204,Kibo,R,3/7/1990,male ,4,78
131205,Jacob,S,3/8/1990,female,3,31
131206,David,T,3/9/1990,male,3,15
131207,Uriel,U,3/10/1990,male ,3,27
131208,Rigel,V,3/11/1990,female,3,97
131209,Colton,W,3/12/1990,male,4,63
131210,Valentine,X,3/13/1990,male ,5,63
131212,Daquan,Y,3/14/1990,female,4,54
131213,Channing,Z,3/15/1990,male,3,69
131214,Cruz,A,3/16/1990,male ,4,44
131215,Tate,B,3/17/1990,female,5,21
131217,Abbot,C,3/18/1990,male,5,87
131220,Benedict,D,3/19/1990,male ,5,99
131221,Thaddeus,E,3/20/1990,female,4,90
131222,Xavier,F,3/21/1990,male,3,27
131223,Brock,G,3/22/1990,male ,3,48
131225,Trevor,H,3/23/1990,female,4,47
131226,Nathan,I,3/24/1990,male,5,21
131227,Keefe,J,3/25/1990,male ,3,84
131228,Darius,K,3/26/1990,female,4,80
131229,David,L,3/27/1990,male,5,29
131230,Rafael,M,3/28/1990,male ,4,18
131231,Zeph,N,3/29/1990,female,3,78
131232,Jermaine,O,3/30/1990,male,4,40
131234,Maxwell,P,3/31/1990,male ,5,89
131235,Thane,Q,4/1/1990,female,4,24
131237,Devin,R,4/2/1990,male,3,91
131238,Damian,S,4/3/1990,male ,5,96
131239,Amery,T,4/4/1990,female,5,99
131242,Porter,U,4/5/1990,male,5,85
131243,Brady,V,4/6/1990,male ,5,53
131244,Denton,W,4/7/1990,female,3,17
131245,Yasir,X,4/8/1990,male,5,29
131247,Lucas,Y,4/9/1990,male ,3,90
131248,Geoffrey,Z,4/10/1990,female,3,46
131249,Hop,A,4/11/1990,male,3,96
131250,Louis,B,4/12/1990,male ,4,37
131251,Addison,C,4/13/1990,female,3,84
131253,Solomon,D,4/14/1990,male,3,18
131301,Beck,E,4/15/1990,male ,3,11
131304,Kirk,F,4/16/1990,female,5,80
131309,Yoshio,G,4/17/1990,male,5,27
131311,Asher,H,4/18/1990,male ,5,78
131312,Chaim,I,4/19/1990,female,5,28
131313,Tanek,J,4/20/1990,male,3,74
131314,Cairo,K,4/21/1990,male ,5,76
131318,Garrett,L,4/22/1990,female,4,60
131321,Kato,M,4/23/1990,male,3,44
131322,Kato,N,4/24/1990,male ,4,29
131323,Armando,O,4/25/1990,female,5,84
131326,Sylvester,P,4/26/1990,male,5,19
131327,Rajah,Q,4/27/1990,male ,4,23
131328,Gray,R,4/28/1990,female,3,48
131330,Dexter,S,4/29/1990,male,3,19
131332,Samuel,T,4/30/1990,male ,5,20
131333,Josiah,U,5/1/1990,female,4,30
131334,Colin,V,5/2/1990,male,5,30
131335,Colorado,W,5/3/1990,male ,4,52
131336,Burton,X,5/4/1990,female,4,25
131337,Barry,Y,5/5/1990,male,4,54
131338,Salvador,Z,5/6/1990,male ,5,23
131340,Randall,A,5/7/1990,female,4,44
131341,Rogan,B,5/8/1990,male,4,67
131342,Ashton,C,5/9/1990,male ,4,58
131343,Driscoll,D,5/10/1990,female,3,70
131344,Roth,E,5/11/1990,male,4,98
131345,Guy,F,5/12/1990,male ,3,17
131346,Ronan,G,5/13/1990,female,4,88
131348,Matthew,H,5/14/1990,male,4,48
131350,Vladimir,I,5/15/1990,male ,3,47
131352,Barry,J,5/16/1990,female,5,93
131353,Cullen,K,5/17/1990,male,3,83
131402,Uriah,L,5/18/1990,male ,5,35
131404,Quinn,M,5/19/1990,female,5,59
131405,Keefe,N,5/20/1990,male,3,19
131406,Alec,O,5/21/1990,male ,3,91
